sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R6.Test125	1866	5	29794	10	99.6355	143	59	4.8193
R6.Test68	353	1	29820	2	99.7224	187	56	20.2450
R6.Test37	73	1	29821	2	99.7258	194	64	58.2067
R6.Test72	452	38	16393	76	54.8206	99	47	12.1634
R6.Test166	833	1	29855	2	99.8395	200	70	7.3957
R6.Test167	5874	2	29825	4	99.7392	165	56	0.8755
R6.Test112	40	2	29828	4	99.7492	152	56	57.8162
R6.Test93	277	30	28149	60	94.1344	148	44	29.6612
R6.Test197	115	3	29863	6	99.8662	149	56	42.7058
R6.Test196	111	2	29864	4	99.8696	141	59	45.9135
R6.Test31	3098	6	29764	12	99.5352	119	53	1.3714
R6.Test107	215	1	29835	2	99.7726	143	59	27.9734
R6.Test15	1780	1	29887	2	99.9465	149	59	3.9657
R6.Test106	5748	10	29617	20	99.0436	87	56	1.2888
R6.Test172	339	1	29868	2	99.8830	145	59	20.5693
R6.Test42	5721	3	29741	6	99.4582	174	41	1.2925
R6.Test9	1159	2	29865	4	99.8729	155	56	5.8482
R6.Test65	1712	1	29820	2	99.7224	187	56	4.1577
R6.Test18	5797	1	29820	2	99.7224	143	56	1.1975
R6.Test146	1638	2	29858	4	99.8495	140	64	3.9437
R6.Test147	319	1	29858	2	99.8495	159	62	25.4576
R6.Test145	83	34	28133	68	94.0809	152	56	38.2025
R6.Test171	2998	1	29826	2	99.7425	204	70	2.0083
R6.Test40	519	2	29777	4	99.5786	137	59	15.4337
R6.Test87	161	1	29859	2	99.8529	151	56	31.7006
R6.Test74	342	13	29427	26	98.4082	111	53	18.2265
R6.Test1	177	2	29801	4	99.6589	196	61	29.9499
R6.Test114	759	14	29065	28	97.1976	102	38	12.1892
R6.Test49	77	1	29860	2	99.8562	172	56	53.2747
R6.Test119	240	1	29818	2	99.7157	187	56	30.7167
R6.Test98	125	2	29834	4	99.7693	137	61	29.5093
R6.Test46	267	1	29819	2	99.7191	192	70	21.3184
R6.Test81	860	1	29864	2	99.8696	155	56	9.6589
R6.Test63	283	5	29762	10	99.5285	191	70	25.8771
R6.Test179	846	5	29813	10	99.6990	109	53	7.6341
R6.Test174	85	5	1206	10	4.0330	1	0	3.5945
R6.Test111	5804	38	24792	76	82.9081	114	60	1.0778
R6.Test105	8896	1	29816	2	99.7091	198	90	0.5362
R6.Test195	3259	1	29860	2	99.8562	172	56	1.8700
R6.Test70	728	24	29422	48	98.3915	155	56	10.3203
R6.Test44	214	1	29843	2	99.7994	158	56	28.1015
R6.Test13	2816	3	29627	6	99.0770	89	58	2.2359
R6.Test79	3901	2	29825	4	99.7392	165	56	1.6413
R6.Test76	263	2	29813	4	99.6990	142	59	29.0433
R6.Test6	2370	7	29723	14	99.3981	92	53	2.3874
R6.Test95	124	1	29864	2	99.8696	167	56	43.4753
R6.Test127	1015	1	29824	2	99.7358	198	64	6.7206
R6.Test126	3693	2	29864	4	99.8696	159	56	1.7698
R6.Test165	151	2	29824	4	99.7358	152	56	33.8537
R6.Test85	268	2	29839	8	99.7860	130	61	26.3007
R6.Test163	3076	2	29825	4	99.7392	165	56	1.9892
R6.Test151	377	2	29817	4	99.7124	180	61	20.0758
R6.Test20	1026	1	29851	2	99.8261	184	70	7.2088
R6.Test29	658	1	29869	2	99.8863	125	53	14.1943
R6.Test148	222	1	29873	2	99.8997	141	62	32.6035
R6.Test26	1282	3	29813	6	99.6990	161	56	4.3014
