sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R8.Test134	2290	2	29813	4	99.6990	141	59	1.6430
R8.Test110	2360	1	29871	2	99.8930	157	56	2.9539
R8.Test91	7295	2	29852	4	99.8294	137	56	0.5801
R8.Test198	1109	2	29804	4	99.6689	196	70	8.2784
R8.Test61	697	1	29870	2	99.8896	192	70	11.3141
R8.Test171	756	1	29838	2	99.7826	152	59	11.3402
R8.Test153	1050	2	29863	4	99.8662	140	62	7.5689
R8.Test6	8766	8	29336	16	98.1039	97	44	0.5379
R8.Test103	3029	1	29852	2	99.8294	196	70	2.0644
R8.Test174	177	2	29840	4	99.7893	154	56	23.2145
R8.Test189	424	1	29887	2	99.9465	153	56	17.9035
R8.Test56	968	1	29813	2	99.6990	151	56	9.0778
R8.Test123	1250	1	29841	2	99.7927	142	59	5.9088
R8.Test36	275	1	29833	2	99.7659	142	59	27.0535
R8.Test192	3293	7	29816	14	99.7091	138	56	1.4040
R8.Test32	7221	1	29861	2	99.8595	181	61	0.5806
R8.Test163	1084	3	29818	6	99.7157	168	56	7.3855
R8.Test52	1314	1	29826	2	99.7425	188	84	5.4369
R8.Test131	11728	1	29770	2	99.5552	200	70	0.2637
R8.Test50	1360	2	29865	4	99.8729	140	56	6.5898
R8.Test116	190	3	29865	6	99.8729	156	53	32.0981
R8.Test30	1079	2	29820	4	99.7224	166	56	5.6686
R8.Test55	774	1	29815	2	99.7057	204	70	11.1102
R8.Test9	1283	1	29818	2	99.7157	205	70	6.4190
R8.Test35	142	1	29865	2	99.8729	169	58	36.1020
R8.Test185	2986	24	28678	48	95.9034	77	9	2.1335
R8.Test125	264	3	29797	6	99.6455	184	70	23.0882
R8.Test38	6577	2	29843	4	99.7994	156	62	1.0766
R8.Test27	138	1	29818	2	99.7157	173	56	35.6589
R8.Test155	2354	7	29656	14	99.1740	98	56	3.0346
R8.Test4	785	1	29822	2	99.7291	135	53	9.3475
R8.Test58	2388	2	29893	4	99.9666	151	56	1.6114
R8.Test169	2736	3	29819	6	99.7191	142	61	2.2335
R8.Test105	2727	1	29856	2	99.8428	159	56	1.5500
R8.Test87	1835	1	29809	2	99.6857	147	56	4.9635
R8.Test129	267	1	29827	2	99.7458	151	56	26.5140
R8.Test183	595	1	29835	2	99.7726	206	70	12.5626
R8.Test73	607	1	29817	2	99.7124	151	56	9.1769
R8.Test117	1351	4	29854	8	99.8361	144	56	5.0330
R8.Test17	121	1	29853	2	99.8328	148	56	40.6164
R8.Test142	100	3	29817	6	99.7124	139	70	44.4672
R8.Test109	679	1	29865	2	99.8729	136	59	9.9427
R8.Test165	538	2	29805	4	99.6723	190	70	12.3856
R8.Test159	425	1	29817	2	99.7124	204	70	19.6566
R8.Test23	757	3	29842	6	99.7960	164	56	11.4212
R8.Test83	583	1	29864	2	99.8696	157	56	12.2588
R8.Test77	477	1	29816	2	99.7091	198	90	18.9641
R8.Test13	96	2	29833	4	99.7659	144	59	40.8853
R8.Test148	1245	2	29790	4	99.6221	148	56	4.3218
R8.Test41	1135	1	29849	2	99.8194	127	59	7.8925
R8.Test93	13013	2	29881	4	99.9264	165	56	0.2542
R8.Test168	11631	24	28727	48	96.0673	83	18	0.2573
R8.Test114	668	1	29866	2	99.8763	147	56	11.8798
R8.Test130	749	16	29308	32	98.0102	87	35	10.7455
R8.Test158	113	11	29781	22	99.5920	158	56	49.5164
R8.Test108	580	1	29830	2	99.7559	142	59	15.2125
R8.Test176	786	2	29876	4	99.9097	164	56	11.4761
R8.Test128	1846	1	29817	2	99.7124	155	56	3.3772
R8.Test63	2506	3	29645	6	99.1372	129	30	2.8322
R8.Test193	1029	1	29824	2	99.7358	200	70	6.4548
R8.Test145	3060	4	29633	8	99.0971	143	56	2.4715
R8.Test97	3565	2	29851	4	99.8261	153	56	1.6903
R8.Test162	3344	1	29877	2	99.9131	163	56	1.8264
R8.Test170	272	1	29826	2	99.7425	204	70	19.7726
R8.Test152	56	1	29816	2	99.7091	141	62	51.4704
R8.Test102	934	1	29815	2	99.7057	189	70	9.4041
R8.Test136	1574	4	29610	8	99.0202	98	59	5.2568
R8.Test149	2075	3	29817	6	99.7124	151	56	2.7428
R8.Test111	258	1	29822	2	99.7291	127	56	26.8653
R8.Test122	1784	3	29590	6	98.9533	186	70	5.0485
R8.Test59	545	1	29875	2	99.9064	114	58	13.0674
R8.Test39	119	1	29827	2	99.7458	138	61	39.2752
R8.Test67	2991	42	26316	84	88.0045	86	47	2.3571
R8.Test1	2073	2	29828	4	99.7492	186	58	2.7114
R8.Test182	1319	1	29875	2	99.9064	164	56	7.4086
R8.Test195	206	1	29872	2	99.8963	133	59	34.1591
R8.Test8	391	1	29868	2	99.8830	130	53	19.4653
R8.Test2	3655	2	29819	4	99.7191	148	56	1.9189
R8.Test54	2511	4	29818	8	99.7157	121	62	2.3602
R8.Test47	239	1	29886	2	99.9431	152	56	20.5239
R8.Test137	3812	1	29816	2	99.7091	198	73	1.6532
R8.Test34	1235	1	29861	2	99.8595	135	53	6.0487
R8.Test71	3316	1	29812	2	99.6957	203	70	2.0323
R8.Test199	564	1	29815	2	99.7057	204	70	15.5696
R8.Test21	100	1	29824	2	99.7358	200	70	33.5218
R8.Test188	1682	2	29857	4	99.8462	172	58	4.8651
R8.Test7	276	1	29826	2	99.7425	167	56	22.7612
R8.Test177	979	1	29858	2	99.8495	165	56	8.9110
R8.Test11	5492	2	29802	4	99.6622	153	56	0.8578
R8.Test43	11596	3	29727	6	99.4114	151	33	0.2647
R8.Test81	2466	2	29861	4	99.8595	131	61	2.3221
R8.Test194	957	1	29884	2	99.9365	143	59	7.5964
R8.Test90	11549	15	29264	30	97.8631	71	27	0.2616
R8.Test5	1590	2	29875	4	99.9064	155	56	5.4328
R8.Test24	192	1	29824	2	99.7358	198	70	29.8342
R8.Test120	2913	2	29865	4	99.8729	140	53	1.5178
R8.Test95	5933	2	29796	4	99.6422	168	56	1.2592
R8.Test3	3481	1	29819	2	99.7191	141	56	1.8939
R8.Test48	8012	1	29811	2	99.6923	159	56	0.5593
R8.Test100	575	3	29516	6	98.7058	187	70	14.0894
