sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
E218YF0488-R-S250089559-1-NA	17	16	29111	32	97.3514	192	70	99.2270
ZZ22JS062980-AD-1R-1L-UDB-138_UDB-138-S250059561-1-NA	103	5	1396	10	4.6684	4	9	3.9574
CF23820402-8D6BXX1LXF1-N002J019-S250055215-1-NA	40	33	27720	66	92.6997	81	0	93.0621
E218YJ0464-R-S250079057-1-NA	44	40	24287	80	81.2193	181	70	93.9778
CF236N0107-8D6BXX1NXF1-N002KX2P-S250042411-1-NA	50	35	27079	70	90.5561	53	0	85.1580
M117RT0327-R-S250062894-1-NA	112	3	675	6	2.2573	5	9	1.6628
ZDH23050900052R-HC7WMAFX5-1-NA	105	2	29782	4	99.5954	163	56	52.5046
ZDH23061600041R-HG22NBGXT-1-NA	506	5	1261	10	4.2170	9	0	0.9478
ZZMAX127430-1R-1L-UDB-179_UDB-179-S250032450-1-NA	3	1	29865	2	99.8729	142	62	98.3857
ZZ22JS062715-AD-1R-1L-UDB-112_UDB-112-S250046842-1-NA	163	47	21831	94	73.0061	138	30	22.2154
ZZ21JS942944-1R-1L-UDB-162_UDB-162-S250017598-1-NA	9	1	29840	2	99.7893	144	59	91.9564
N218YF0176-R-S250089322-1-NA	18	7	1906	14	6.3739	15	9	34.9549
E218YF0627-R-S250089605-1-NA	38	35	26385	70	88.2353	182	70	96.7587
CF239A0326-8D6BXX1VXF1-N002JQ84-S250057832-1-NA	29	18	29030	36	97.0806	70	18	88.4600
N217RE0120-R-S250084456-1-NA	34	30	26723	60	89.3656	152	47	92.8171
ZZ22JS021652-1R-1L-UDB-184_UDB-184-S250028518-1-NA	17	2	405	4	1.3544	4	0	8.8855
ZDH23062200081R-HG3M5BGXT-1-NA	515	2	29881	4	99.9264	165	56	18.5806
ZDH23061100011R-HC7W2AFX5-1-NA	65	1	29829	2	99.7525	171	56	59.1086
ZDH23060600022R-H5FVVBGXT-1-NA	22	1	29845	2	99.8060	159	56	82.1290
MDL001-Q24C23030015L-RNA-C19-20230113-H7WHKBGXM-1-NA	5	1	314	2	1.0501	2	0	22.9197
CF24220285-8D6BXX1P1F1-N002JQ84-S250081308-1-NA	1	1	220	2	0.7357	0	0	100.0000
M217RT0115-R-S250065216-1-NA	47	24	8097	48	27.0776	63	47	54.9013
ZZMAX154277-AD-1R-1L-UDB-183_UDB-183-S250046880-1-NA	33	13	29675	28	99.2375	159	56	79.5345
PB23660369-8D6AXX1LXF1-N002KX2P-S250041894-1-NA	4	1	258	2	0.8628	0	0	23.8447
ZDH230101721R-HH3VMBGXM-1-NA	132	2	29840	8	99.7893	130	61	44.9329
S118HM0195-R-S250092049-1-NA	109	3	29778	6	99.5820	201	70	38.9572
E218YF0152-R-S250089378-1-NA	24	2	29860	4	99.8562	191	70	82.8700
CF231B0298-8B6AXX1LXF1-N002J019-S250029921-1-NA	37	37	27898	74	93.2950	48	0	99.7872
CF23630148-8D6AXX1LXF1-N002J019-S250043127-1-NA	32	32	28099	64	93.9672	76	0	99.7567
ZZ24JS11864-AD-1R-1L-UDB-164_UDB-164-S250083910-1-NA	5548	7	2217	14	7.4140	17	9	0.0994
E218YJ0353-R-S250079072-1-NA	1	1	29820	2	99.7224	187	56	100.0000
CF234U0105-8D6AXX1ZXF1-N002J019-S250021367-1-NA	48	33	28271	66	94.5424	74	0	87.4685
E217RT0460-R-S250074260-1-NA	3	2	439	4	1.4681	0	0	64.3695
N217RT0132-R-S250062872-1-NA	22	5	29675	10	99.2375	190	56	86.6078
ZZ22JS109636-AD-1R-1L-UDB-165_UDB-165-S250079720-1-NA	103	39	20521	78	68.6252	161	41	47.0109
E217RE0715-R-S250079783-1-NA	24	24	8241	48	27.5591	59	44	99.9149
CF23660320-8D6AXX1LXF1-N002J019-S250041894-1-NA	58	32	28132	64	94.0775	67	0	79.2826
ZZ22JS022632-1R-1L-UDB-107_UDB-107-S250028603-1-NA	862	32	12394	64	41.4473	50	35	4.6161
E218YF0321-R-S250089375-1-NA	8	1	29813	2	99.6990	195	70	93.1566
ZDH23052200112R-HH75NBGXM-1-NA	142	30	26271	64	87.8541	152	55	46.2468
CF236V0277-8D6AXX1LXF1-N002J019-S250041201-1-NA	34	34	27985	68	93.5859	70	0	99.7806
E218YF0411-R-S250079223-1-NA	11	3	774	6	2.5884	0	26	21.7379
M217RT0156-R-S250072833-1-NA	35	24	8259	48	27.6193	49	21	68.5182
ZZ22JS052116-1R-1L-UDB-110_UDB-110-S250039072-1-NA	42	34	27995	68	93.6194	152	56	92.2273
ZZMAX136576-AD-1R-1L-UDB-106_UDB-106-S250046877-1-NA	11	2	29854	4	99.8361	167	56	93.0712
CF236B0251-8D6AXX1LXF1-N002KX2P-S250042393-1-NA	1635	23	7045	46	23.5595	5	0	1.0546
N218HM0219-R-S250093705-1-NA	27	5	29752	10	99.4950	190	70	83.2959
ZDH221200431R-HWCTMAFX3-1-NA	235	3	787	6	2.6318	4	0	0.6561
E218YF0257-R-S250089638-1-NA	8	4	29795	8	99.6388	192	70	95.6807
S117RN0150-R-S250084510-1-NA	92	17	29214	34	97.6959	178	59	59.4421
CF231K0254-8B6AXX1PXF1-N002J019-S250032344-1-NA	34	30	28306	60	94.6594	57	0	95.5014
ZZMAX83650-1R-1L-UDB-169_UDB-169-S250028725-1-NA	14	9	3411	18	11.4069	22	35	73.5833
CF230K0037-8D6BXX1PXF1-N002JQ84-S250055948-1-NA	2907	39	26968	78	90.1849	67	0	2.0506
CF23550199-8D6AXX1ZXF1-N002KX2P-S250043190-1-NA	26	25	28675	50	95.8934	63	0	98.9713
ZZ22JS047632-1R-1L-UDB-142_UDB-142-S250037154-1-NA	45	45	23693	90	79.2329	112	53	99.9748
CF234D0113-8D6AXX1MXF1-N002J019-S250034250-1-NA	4	2	403	4	1.3477	0	0	45.4340
ZDH221200141R-HWFHGAFX3-1-NA	206	1	29873	2	99.8997	136	59	32.8008
S217RN0396-R-S250075586-1-NA	29	27	8707	54	29.1175	46	9	94.7682
CF231F0200-8B6AXX1KXF1-N002J019-S250027603-1-NA	47	46	25823	92	86.3559	34	0	98.9034
N117RN0117-R-S250076533-1-NA	50	33	10872	66	36.3576	67	44	72.9053
E218YF0474-R-S250089235-1-NA	6	1	29816	2	99.7091	198	90	95.5103
ZZ22JS052085-AD-1R-1L-UDB-164_UDB-164-S250046855-1-NA	4	1	29824	2	99.7358	155	56	97.5904
ZZ22JS062829-AD-1R-1L-UDB-141_UDB-141-S250053955-1-NA	12	3	29759	6	99.5184	161	58	93.1571
M118HM0288-R-S250093909-1-NA	4	1	29821	2	99.7258	194	70	97.7504
MDL001-Q24C22520006L-RNA-D11-20221223-H7W7YBGXM-1-NA	1	1	417	2	1.3945	2	9	100.0000
CF23660366-8D6AXX1LXF1-N002J019-S250041894-1-NA	15	15	29028	30	97.0739	72	0	99.7801
S218HM0124-R-S250089153-1-NA	6	6	29565	12	98.8697	199	70	99.9966
CF23100190-8B6AXX1ZXF1-N002L001-S250030278-1-NA	27	26	28066	52	93.8568	63	0	99.0649
CF236G0177-8D6AXX1LXF1-N002J019-S250041898-1-NA	2374	38	26027	76	87.0381	59	0	1.4413
ZZ22JS055863-AD-1R-1L-UDB-122_UDB-122-S250039324-1-NA	867	1	29833	2	99.7659	164	56	8.2192
CF23620301-8D6AXX1LXF1-N002J019-S250042228-1-NA	803	17	5281	34	17.6604	6	0	1.5178
M117RN0125-R-S250074323-1-NA	41	40	26407	80	88.3089	148	56	99.1562
ZZ24JS04646-AD-1R-1L-UDB-112_UDB-112-S250080129-1-NA	36	1	29827	2	99.7458	200	70	73.4760
ZZ22JS062796-AD-1R-1L-UDB-183_UDB-183-S250075840-1-NA	42	32	13757	64	46.0054	113	53	49.3852
ZDH23053000011R-HC7LFAFX5-1-NA	38	1	29862	2	99.8629	161	56	73.8851
CF231B0440-8B6AXX1VXF1-N002J019-S250028919-1-NA	38	37	27406	74	91.6497	40	0	99.0691
ZZMAX143318-AD-1R-1L-UDB-97_UDB-97-S250050241-1-NA	33	23	9482	46	31.7092	66	9	79.9261
ZZMAX173346-AD-1R-1L-UDB-134_UDB-134-S250080190-1-NA	2166	1	29592	2	98.9600	196	44	2.7445
ZZ22JS062828-AD-1R-1L-UDB-158_UDB-158-S250059443-1-NA	5	1	29842	2	99.7960	171	56	96.9786
CF24370096-8F6AXXJ41F1-N008JQ84-S250088754-1-NA	14	14	28390	28	94.9403	45	14	99.8733
CF235U0226-8D6AXX1LXF1-N002J019-S250043131-1-NA	42	36	27362	72	91.5025	66	0	93.8474
E217RE0131-R-S250077736-1-NA	157	4	29733	8	99.4315	174	56	39.0518
CF236V0321-8D6AXX1LXF1-N002J019-S250041201-1-NA	32	28	27744	56	92.7800	81	0	95.8780
E218YF0175-R-S250089256-1-NA	12	4	29487	8	98.6088	186	70	91.7807
CF239E0315-8D6BXX1LXF1-N002JQ84-S250055293-1-NA	171	32	27482	64	91.9038	86	0	34.0870
ZZ22JS062855-AD-1R-1L-UDB-191_UDB-191-S250050232-1-NA	28	1	29866	2	99.8763	175	56	75.7079
CF23630127-8D6AXX1LXF1-N002J019-S250043127-1-NA	33	33	27637	66	92.4222	67	0	99.7849
CF23BS0175-8D6BXX1NXF1-N002JQ84-S250077292-1-NA	390	37	27147	74	90.7835	83	0	13.6797
ZZMAX119816-1R-1L-UDB-178_UDB-178-S250032450-1-NA	66	20	6627	40	22.1617	35	9	32.0158
CF238P0421-8D6BXX1ZXF1-N002JQ84-S250055402-1-NA	49	49	19165	98	64.0906	17	0	99.8239
ZDH230401551R-HNWF7BGXM-1-NA	426	2	29865	4	99.8729	155	56	18.4154
ZZ22JS023191-1R-1L-UDB-176_UDB-176-S250032442-1-NA	31	3	29721	6	99.3914	141	59	79.9429
N117RN0130-R-S250063134-1-NA	20	2	655	4	2.1904	4	9	5.8177
M118HM0342-R-S250094854-1-NA	21	1	29862	2	99.8629	192	70	84.1906
ZZ22JS021585-1R-1L-UDB-181_UDB-181-S250032450-1-NA	86	3	29853	6	99.8328	133	59	48.5731
S118HM0188-R-S250090372-1-NA	189	43	19160	86	64.0738	115	38	34.3160
N117RE0115-R-S250074677-1-NA	189	1	279	2	0.9330	3	0	0.4077
CF231C0481-8B6AXX1LXF1-N002J019-S250029121-1-NA	29	29	28084	58	93.9170	64	0	99.8131
ZZMAX153830-AD-1R-1L-UDB-172_UDB-172-S250053982-1-NA	37	24	7949	50	26.5826	55	21	71.6893
CF231D0159-8B6AXX1LXF1-N002L001-S250029157-1-NA	68	43	14273	86	47.7310	8	0	66.1787
CF235U0224-8D6AXX1LXF1-N002J019-S250043131-1-NA	2	2	457	4	1.5283	0	0	100.0000
ZDH230100321R-HWCV5AFX3-1-NA	136	2	29777	4	99.5786	137	59	45.9638
CF236C0325-8D6AXX1LXF1-N002J019-S250041984-1-NA	61	47	23615	94	78.9720	31	2	86.0512
CF230K0225-8D6BXX1PXF1-N002JQ84-S250055948-1-NA	60	34	27975	68	93.5525	87	0	44.4814
CF236K0198-8D6AXX1LXF1-N002J019-S250042380-1-NA	38	38	26548	76	88.7804	60	0	99.8166
ZDH221200131R-HWFHGAFX3-1-NA	727	4	2302	8	7.6982	14	35	1.0081
ZZ22JS062906-AD-1R-1L-UDB-157_UDB-157-S250059443-1-NA	2933	2	29825	4	99.7392	165	56	2.0859
E218YF0623-R-S250089605-1-NA	153	5	29312	12	98.0236	196	70	40.7709
M117RE0443-R-S250080941-1-NA	19	13	3362	26	11.2430	21	9	56.2018
ZZ22JS055866-AD-1R-1L-UDB-153_UDB-153-S250039074-1-NA	14	5	29809	10	99.6857	156	56	93.7055
MDL001-Q24C22520013L-RNA-D20-20221224-H7YCKBGXM-1-NA	54	18	5410	36	18.0918	45	18	30.6642
CF235S0122-8D6AXX1ZXF1-N002J019-S250043163-1-NA	30	30	28085	60	93.9203	70	0	99.7247
ZZ22JS032996-AD-1R-1L-UDB-135_UDB-135-S250039334-1-NA	11	2	29845	4	99.8060	155	56	93.4458
CF234R0252-8D6AXX1ZXF1-N002J019-S250035379-1-NA	33	33	27790	66	92.9338	68	0	99.6192
ZDH230500481R-HC7CVAFX5-1-NA	90	1	29860	2	99.8562	173	56	54.5202
N218HM0251-R-S250091455-1-NA	25	8	29738	16	99.4482	195	72	76.7410
CF23600154-8D6AXX1LXF1-N002J019-S250042474-1-NA	552	43	23359	86	78.1159	41	0	11.5831
CF238H0204-8D6BXX1QXF1-N002JQ84-S250055373-1-NA	65	33	27906	66	93.3217	78	0	52.4301
CF237Q0499-8B6BXX2IXF1-N002KX2P-S250057897-1-NA	2232	31	27766	62	92.8536	78	0	3.2014
ZDH23061700052R-HG3GJBGXT-1-NA	272	24	10811	48	36.1536	65	27	13.3000
MDL001-Q09C23030031L-RNA-A07-20230110-HL7VNBGXM-1-NA	32	11	3246	22	10.8551	16	0	30.4760
WHMAX12180001-1R-1L-UDB-170_UDB-170-S250043500-1-NA	86	26	8717	52	29.1509	48	18	29.3193
S217RT0481-R-S250075378-1-NA	1522	1	228	2	0.7625	0	0	0.0470
CF235K0129-8D6AXX1ZXF1-N002J019-S250043337-1-NA	16	16	29106	32	97.3347	64	0	99.7573
ZZMAX139638-AD-1R-1L-UDB-145_UDB-145-S250039186-1-NA	1063	2	29816	4	99.7091	155	56	4.9272
ZDH23060600052R-H5FVVBGXT-3-NA	138	37	17105	74	57.2016	99	45	36.4212
MDL001-Q11C23030029L-RNA-B19-20230110-HL3M5BGXM-1-NA	14	14	3942	28	13.1826	15	9	100.0000
RNA-1233184390-HWCGVBGXL-1-NA	71	2	29812	6	99.6957	140	62	60.6029
CF23030059-8D6BXX1NXF1-N002JQ84-S250071312-1-NA	41	37	26853	74	89.8004	66	0	95.8109
S118YF0150-R-S250087388-1-NA	108	1	29815	2	99.7057	204	70	49.8200
M118LA0126-R-S250093960-1-NA	3	1	29824	2	99.7358	200	70	65.3753
