sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R13.Test90	5557	2	29856	4	99.8428	127	59	0.9017
R13.Test180	1085	3	29817	6	99.7124	160	56	7.3224
R13.Test41	553	1	29825	2	99.7392	190	70	12.3450
R13.Test46	6390	1	29874	2	99.9030	168	58	1.1845
R13.Test112	11373	3	29809	6	99.6857	162	64	0.2659
R13.Test80	18640	2	29661	4	99.1907	135	56	0.1966
R13.Test71	13807	2	29869	4	99.8863	144	59	0.2391
R13.Test76	5066	1	29881	2	99.9264	165	56	1.4282
R13.Test162	711	1	29875	2	99.9064	155	56	10.7031
R13.Test29	728	1	29880	2	99.9231	155	56	9.4695
R13.Test130	303	1	29871	2	99.8930	136	53	22.9216
R13.Test177	599	2	29816	4	99.7091	181	67	13.1086
R13.Test176	12657	2	29818	8	99.7157	159	56	0.6902
R13.Test121	275	1	29821	2	99.7258	194	70	28.4302
R13.Test175	1083	1	29828	2	99.7492	106	53	8.0596
R13.Test114	9188	1	29836	2	99.7759	120	53	0.5298
R13.Test164	940	1	29812	2	99.6957	146	59	8.8212
R13.Test58	17255	2	29837	4	99.7793	143	59	0.2206
R13.Test68	1184	1	29838	2	99.7826	117	56	5.9691
R13.Test163	13838	2	29771	4	99.5586	161	56	0.2491
R13.Test138	3353	1	29796	2	99.6422	128	56	1.8575
R13.Test113	1986	1	29867	2	99.8796	193	61	2.6126
R13.Test189	4044	1	29876	2	99.9097	139	62	1.8900
R13.Test151	930	4	29806	8	99.6756	148	56	9.4777
R13.Test53	11752	6	29845	14	99.8060	167	56	0.2650
R13.Test63	327	2	29853	4	99.8328	186	58	16.8106
R13.Test14	1124	2	29859	4	99.8529	133	62	7.4813
R13.Test139	5145	1	29818	2	99.7157	150	56	0.9441
R13.Test188	1406	1	29820	2	99.7224	175	58	6.3563
R13.Test198	2564	1	29841	2	99.7927	150	56	2.7470
R13.Test42	3120	1	29881	2	99.9264	165	56	2.0929
R13.Test17	1044	1	29809	2	99.6857	153	56	6.6316
R13.Test72	717	1	29815	2	99.7057	204	70	11.2787
R13.Test122	910	1	29859	2	99.8529	141	62	9.4872
R13.Test199	1440	1	29839	2	99.7860	175	64	5.5538
R13.Test69	4978	2	29798	4	99.6489	180	61	1.3268
R13.Test154	1007	1	29843	2	99.7994	202	70	8.4670
R13.Test59	5634	1	29846	2	99.8094	141	65	0.9182
R13.Test153	8343	2	29813	4	99.6990	157	56	0.7836
R13.Test145	1097	1	29884	2	99.9365	154	56	7.5589
R13.Test161	9499	1	29842	2	99.7960	152	64	0.5102
