sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R4.Test185	2280	10	29425	20	98.4015	98	53	3.2999
R4.Test118	407	2	29877	4	99.9131	165	56	20.3761
R4.Test7	4017	1	29820	2	99.7224	185	56	1.9419
R4.Test195	958	10	4473	20	14.9584	25	37	1.3502
R4.Test81	171	4	29556	10	98.8396	196	70	38.4341
R4.Test47	520	1	29821	2	99.7258	194	70	14.0295
R4.Test69	1222	1	29845	2	99.8060	165	56	4.3952
R4.Test13	33	1	29854	2	99.8361	188	70	78.6497
R4.Test12	33	19	28735	38	96.0940	102	21	84.3333
R4.Test121	426	13	29675	26	99.2375	159	56	19.2552
R4.Test131	304	34	17901	68	59.8636	98	58	18.6988
R4.Test187	794	40	15189	80	50.7942	92	44	5.0634
R4.Test39	88	8	29738	16	99.4482	195	72	54.9831
R4.Test104	1664	5	29842	10	99.7960	121	53	5.4048
R4.Test68	168	1	29860	2	99.8562	104	56	41.5972
R4.Test38	193	21	29114	42	97.3615	93	53	34.0160
R4.Test197	2228	3	29817	6	99.7124	151	56	2.7266
R4.Test164	203	24	7740	48	25.8837	57	50	10.9034
R4.Test40	146	39	15771	78	52.7405	101	44	31.5421
R4.Test51	153	1	29856	2	99.8428	173	56	35.5447
R4.Test2	2201	1	29847	2	99.8127	162	62	2.7438
R4.Test174	21	2	29820	4	99.7224	127	62	85.1961
R4.Test125	1103	34	27723	68	92.7098	96	26	5.1430
R4.Test135	43	1	29820	2	99.7224	187	56	72.9260
R4.Test150	2978	14	29266	28	97.8698	83	35	2.1546
R4.Test50	11659	3	29860	6	99.8562	133	59	0.2650
R4.Test200	170	7	1906	14	6.3739	15	9	3.9092
R4.Test153	1634	7	29743	14	99.4649	195	72	5.4429
R4.Test56	2236	1	29838	2	99.7826	196	70	2.7193
R4.Test18	312	1	29847	2	99.8127	146	56	24.4883
R4.Test9	293	1	29856	2	99.8428	161	56	27.6489
R4.Test41	2236	10	29049	20	97.1441	93	21	3.2987
R4.Test87	61	4	29771	12	99.5586	159	56	74.1404
R4.Test140	394	1	29871	2	99.8930	136	59	15.1143
R4.Test181	2447	20	28582	40	95.5824	75	0	1.5579
R4.Test178	60	5	29809	10	99.6857	156	56	41.6592
R4.Test127	212	4	29733	8	99.4315	174	56	25.0774
R4.Test143	2429	1	29864	2	99.8696	172	56	1.6185
R4.Test63	521	1	29770	2	99.5552	183	58	15.0485
R4.Test62	765	13	28640	26	95.7763	159	56	10.9271
R4.Test19	133	13	28859	26	96.5087	152	56	40.2035
R4.Test33	432	1	29868	2	99.8830	136	59	17.8918
R4.Test32	1697	43	14463	86	48.3664	15	0	2.1104
R4.Test191	150	1	29815	2	99.7057	204	70	41.5913
R4.Test114	58	19	28715	40	96.0272	53	9	72.7286
R4.Test57	2494	6	29810	12	99.6890	147	59	1.6078
R4.Test152	15	1	29816	2	99.7091	198	90	88.5066
R4.Test80	38	4	29759	10	99.5184	161	58	71.4392
R4.Test168	2969	1	29860	2	99.8562	172	56	2.1960
R4.Test108	223	34	27510	68	91.9975	79	26	34.7733
