sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R14.Test128	2903	2	29889	4	99.9532	192	70	2.6714
R14.Test106	648	2	29831	4	99.7592	153	56	13.2294
R14.Test197	12235	2	29860	4	99.8562	125	59	0.2548
R14.Test83	6143	2	29820	4	99.7224	165	56	1.2201
R14.Test29	442	1	29828	2	99.7492	190	70	16.1724
R14.Test48	4097	2	29854	4	99.8361	187	64	1.6244
R14.Test165	1515	2	29818	4	99.7157	129	59	4.8166
R14.Test73	1379	1	29855	2	99.8395	136	59	5.3213
R14.Test19	1700	1	29827	2	99.7458	200	70	4.1586
R14.Test5	921	1	29865	2	99.8729	142	56	7.3341
R14.Test183	4059	2	29843	4	99.7994	192	70	1.6648
R14.Test152	2484	1	29859	2	99.8529	121	53	3.6219
R14.Test108	8698	1	29875	2	99.9064	155	56	0.5329
R14.Test126	171	1	29629	2	99.0837	196	47	32.7513
R14.Test194	7695	2	29813	4	99.6990	127	53	0.5620
R14.Test168	14022	4	29771	12	99.5586	155	56	0.3914
R14.Test105	980	1	29826	2	99.7425	204	70	8.9454
R14.Test191	16352	2	29825	4	99.7392	165	56	0.2231
R14.Test139	414	1	29863	2	99.8662	192	70	19.4122
R14.Test125	2158	3	29759	6	99.5184	161	58	3.4147
R14.Test57	953	1	29827	2	99.7458	158	58	7.1064
R14.Test166	3042	1	29827	2	99.7458	147	56	2.5068
R14.Test137	1792	2	29859	4	99.8529	143	56	3.5736
R14.Test89	1097	1	29833	2	99.7659	142	59	8.3217
R14.Test42	3481	1	29861	2	99.8595	118	53	1.9914
R14.Test23	2601	1	29811	2	99.6923	139	59	2.6209
R14.Test186	2686	1	29858	2	99.8495	192	70	2.3569
R14.Test95	3970	1	29851	2	99.8261	151	56	1.2729
R14.Test123	5565	3	29771	6	99.5586	161	56	1.1840
R14.Test188	2279	2	29889	4	99.9532	160	56	3.5322
R14.Test103	8829	1	29877	2	99.9131	165	56	0.7509
R14.Test79	478	1	29859	2	99.8529	168	58	15.3138
R14.Test40	962	2	29882	4	99.9298	147	56	8.6343
R14.Test13	5858	5	29755	10	99.5051	158	56	1.2328
R14.Test150	1663	2	29791	4	99.6255	135	53	3.9709
R14.Test65	5408	3	29764	6	99.5352	144	53	1.3084
R14.Test131	2029	2	29887	4	99.9465	130	53	2.6902
R14.Test185	14222	1	29865	2	99.8729	161	56	0.3399
R14.Test46	2189	1	29874	2	99.9030	164	56	3.2927
R14.Test199	2957	2	29833	4	99.7659	150	61	2.6137
R14.Test54	3657	1	29822	2	99.7291	114	56	1.3066
R14.Test134	3882	5	29743	10	99.4649	125	52	1.6972
R14.Test163	1165	1	29854	2	99.8361	162	56	5.6931
R14.Test51	1286	1	29818	2	99.7157	116	56	4.0594
R14.Test35	491	1	29860	2	99.8562	147	64	14.8390
R14.Test157	14466	2	29871	4	99.8930	131	56	0.3881
R14.Test25	288	2	29889	4	99.9532	117	53	24.0107
R14.Test148	965	1	29858	2	99.8495	145	56	6.7196
R14.Test93	11170	3	29853	6	99.8328	186	58	0.2618
R14.Test116	3289	1	29885	2	99.9398	142	56	1.3950
R14.Test146	4409	2	29839	4	99.7860	164	65	1.6074
R14.Test192	2032	2	29829	4	99.7525	129	56	3.5132
R14.Test118	3141	1	29816	2	99.7091	190	70	2.1263
R14.Test47	4093	1	29796	2	99.6422	146	56	1.5847
R14.Test15	3341	1	29870	2	99.8896	155	56	2.1952
R14.Test173	2143	1	29875	2	99.9064	152	56	3.2119
R14.Test130	9336	2	29880	4	99.9231	162	56	0.5154
R14.Test115	3035	2	29878	4	99.9164	124	53	2.4084
R14.Test151	1094	1	29830	2	99.7559	161	56	8.6978
R14.Test63	3000	1	29816	2	99.7091	192	70	2.0237
R14.Test154	869	2	29813	4	99.6990	182	56	9.4109
R14.Test58	1942	1	29847	2	99.8127	188	84	2.6426
R14.Test4	743	3	29771	6	99.5586	161	56	9.5174
