sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R12.Test154	1778	1	29818	2	99.7157	171	67	5.0365
R12.Test52	179	3	29759	6	99.5184	161	58	35.2013
R12.Test165	532	1	29798	2	99.6489	151	56	15.3433
R12.Test129	3893	2	29827	4	99.7458	155	56	1.9371
R12.Test173	2441	2	29796	4	99.6422	169	81	2.7761
R12.Test181	2116	1	29877	2	99.9131	165	56	3.5636
R12.Test86	883	1	29836	2	99.7759	200	70	8.9060
R12.Test20	1616	1	29872	2	99.8963	163	56	4.6476
R12.Test21	3409	2	29837	4	99.7793	155	56	1.7836
R12.Test55	6635	4	29777	8	99.5786	154	58	1.1094
R12.Test124	466	1	29816	2	99.7091	198	90	17.6433
R12.Test1	4894	1	29858	2	99.8495	159	56	1.3876
R12.Test141	3740	1	29818	2	99.7157	186	70	2.0075
R12.Test159	241	2	29858	4	99.8495	196	64	23.5357
R12.Test63	8851	1	29818	2	99.7157	155	56	0.7590
R12.Test67	608	17	28932	34	96.7528	93	53	11.7571
R12.Test78	515	1	29825	2	99.7392	190	70	14.9363
R12.Test133	3396	2	29885	4	99.9398	113	53	2.3963
R12.Test74	1794	1	29770	2	99.5552	204	70	4.7412
R12.Test87	8196	3	29789	6	99.6188	128	59	0.5572
R12.Test79	2630	1	29830	2	99.7559	120	53	2.6911
R12.Test163	1035	1	29888	2	99.9498	130	59	8.2184
R12.Test9	1466	1	29828	2	99.7492	143	56	5.3129
R12.Test175	3078	2	29825	4	99.7392	165	56	1.9590
R12.Test135	1610	1	29770	2	99.5552	204	70	4.5059
R12.Test4	12261	2	29812	4	99.6957	143	56	0.2583
R12.Test114	3475	3	29769	6	99.5519	182	70	1.8563
R12.Test22	500	1	29820	2	99.7224	154	61	16.9165
R12.Test3	1474	1	29836	2	99.7759	203	70	4.8033
R12.Test200	315	1	29861	2	99.8595	187	56	26.0431
R12.Test104	9845	1	29884	2	99.9365	118	53	0.5050
R12.Test109	301	1	29889	2	99.9532	148	59	22.1799
R12.Test119	3818	1	29865	2	99.8729	191	70	1.7552
R12.Test83	1824	1	29868	2	99.8830	194	70	3.8841
