sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R10.Test196	918	1	29826	2	99.7425	184	64	8.8037
R10.Test65	735	2	29895	4	99.9732	138	56	10.8210
R10.Test176	1480	1	29821	2	99.7258	194	70	5.2617
R10.Test85	748	2	29871	4	99.8930	106	53	11.1022
R10.Test56	1150	1	29826	2	99.7425	204	70	5.6352
R10.Test14	4378	1	29839	2	99.7860	194	70	1.4512
R10.Test110	979	1	29833	2	99.7659	153	56	7.1368
R10.Test121	1139	1	29861	2	99.8595	157	56	4.5307
R10.Test198	362	1	29858	2	99.8495	164	56	21.5220
R10.Test115	319	1	29826	2	99.7425	204	70	24.5093
R10.Test178	2477	1	29816	2	99.7091	194	70	1.5941
R10.Test22	4152	2	29879	4	99.9197	159	56	1.6146
R10.Test162	1353	1	29872	2	99.8963	163	56	5.8088
R10.Test133	1153	1	29865	2	99.8729	174	56	6.9861
R10.Test171	239	3	29865	6	99.8729	158	58	28.9917
R10.Test191	717	2	29814	4	99.7024	115	53	10.8465
R10.Test128	333	1	29816	2	99.7091	198	90	23.2427
R10.Test126	1272	1	29835	2	99.7726	194	70	5.7313
R10.Test102	3139	1	29819	2	99.7191	187	56	2.2063
R10.Test5	3678	1	29820	2	99.7224	192	70	1.8966
R10.Test180	6179	1	29866	2	99.8763	175	56	1.2328
R10.Test50	10850	1	29858	2	99.8495	161	56	0.2679
R10.Test185	2121	1	29856	2	99.8428	175	56	4.0118
R10.Test29	1382	1	29819	2	99.7191	171	58	5.6693
R10.Test157	262	1	29826	2	99.7425	190	70	26.3100
R10.Test27	1992	1	29859	2	99.8529	133	53	4.2578
R10.Test134	2399	2	29843	4	99.7994	196	70	2.5253
R10.Test73	1369	2	29875	4	99.9064	155	56	6.6052
R10.Test49	343	2	29812	4	99.6957	169	58	19.4573
R10.Test47	2571	2	29865	4	99.8729	141	59	3.3618
R10.Test1	2847	1	29867	2	99.8796	192	70	2.2741
R10.Test183	2281	1	29816	2	99.7091	198	90	3.3013
R10.Test78	923	2	29814	4	99.7024	152	56	10.0455
R10.Test95	1176	1	29870	2	99.8896	147	56	6.2274
R10.Test184	3074	1	29866	2	99.8763	190	64	1.9899
R10.Test130	1222	1	29875	2	99.9064	136	53	7.2820
R10.Test135	332	1	29878	2	99.9164	148	59	25.1968
R10.Test10	3534	2	29798	4	99.6489	163	56	1.8351
R10.Test159	855	1	29827	2	99.7458	200	70	9.4110
R10.Test71	1881	1	29816	2	99.7091	198	90	3.7432
R10.Test54	743	1	29832	2	99.7626	205	70	11.4944
R10.Test16	545	1	29857	2	99.8462	121	55	16.7745
R10.Test114	2024	1	29816	2	99.7091	198	90	3.0296
R10.Test42	530	1	29859	2	99.8529	180	56	16.2404
R10.Test113	835	1	29879	2	99.9197	121	56	9.2464
R10.Test142	581	1	29816	2	99.7091	194	70	14.2441
R10.Test35	1933	1	29881	2	99.9264	119	58	3.7646
R10.Test109	723	2	29870	4	99.8896	155	56	10.6721
R10.Test77	901	1	29877	2	99.9131	165	56	9.6829
R10.Test194	255	1	29826	2	99.7425	200	70	25.0838
R10.Test174	9686	2	29844	4	99.8027	134	61	0.4311
R10.Test200	200	2	29822	4	99.7291	141	56	35.0052
R10.Test79	2758	1	29859	2	99.8529	171	61	2.6280
R10.Test3	291	1	29816	2	99.7091	198	90	19.8983
R10.Test23	4105	2	29825	4	99.7392	165	56	1.5132
R10.Test147	2282	1	29838	2	99.7826	144	56	3.2389
R10.Test96	5943	1	29871	2	99.8930	136	59	1.2683
R10.Test48	386	1	29865	2	99.8729	136	59	19.7763
