sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R3.Test89	31	3	29788	6	99.6154	120	58	45.5750
R3.Test169	1703	1	228	2	0.7625	0	0	0.0421
R3.Test87	43	26	28172	52	94.2113	67	0	85.4149
R3.Test179	110	8	29787	16	99.6121	139	53	49.7846
R3.Test84	123	1	29824	2	99.7358	200	70	24.1822
R3.Test41	224	1	29858	2	99.8495	173	56	32.3429
R3.Test151	236	1	29878	2	99.9164	113	53	32.4679
R3.Test105	55	36	27339	72	91.4256	56	0	81.8490
R3.Test52	46	2	29854	4	99.8361	167	56	55.9013
R3.Test119	2030	43	18867	86	63.0940	134	53	1.7166
R3.Test173	245	1	29873	2	99.8997	136	59	29.0968
R3.Test154	2068	23	7068	46	23.6364	5	0	0.8589
R3.Test53	88	3	29771	6	99.5586	161	56	53.9127
R3.Test47	2258	1	29868	2	99.8830	161	61	2.5078
R3.Test21	8620	3	29813	6	99.6990	145	56	0.5499
R3.Test83	2582	2	29661	4	99.1907	133	56	2.8113
R3.Test34	570	45	26092	90	87.2555	70	26	15.8409
R3.Test25	22	1	29805	2	99.6723	117	58	58.0185
R3.Test170	118	2	29782	4	99.5954	163	56	49.4675
R3.Test55	8628	1	29827	2	99.7458	200	70	0.5498
R3.Test146	49	1	29866	2	99.8763	175	56	51.8002
R3.Test64	1114	37	27147	74	90.7835	83	0	5.0237
R3.Test11	287	4	29585	8	98.9366	115	53	18.0406
R3.Test10	2296	29	27951	58	93.4722	81	26	3.1571
R3.Test181	340	39	15016	80	50.2157	79	18	9.6019
R3.Test157	201	3	29812	6	99.6957	144	59	35.6801
R3.Test148	3073	2	29797	4	99.6455	183	58	2.0110
R3.Test31	172	38	27189	76	90.9240	158	56	24.7639
R3.Test149	94	46	18158	92	60.7230	89	24	49.5418
R3.Test159	270	1	29815	2	99.7057	204	70	26.4743
R3.Test168	248	38	26875	76	89.8739	148	56	31.8252
R3.Test4	11	1	29874	2	99.9030	139	62	91.7885
R3.Test182	1647	6	29802	12	99.6622	100	56	4.2727
R3.Test40	580	33	27723	66	92.7098	98	26	11.0129
R3.Test99	861	40	20434	80	68.3343	107	56	8.1368
R3.Test196	222	1	29873	2	99.8997	136	59	31.3666
R3.Test93	135	1	29843	2	99.7994	139	62	45.8670
R3.Test192	107	6	29839	12	99.7860	125	59	46.4472
R3.Test144	3161	2	29825	4	99.7392	165	56	1.9788
R3.Test9	5781	33	11869	66	39.6917	73	45	0.5166
R3.Test101	28	25	28675	50	95.8934	63	0	97.2286
R3.Test171	45	18	28962	36	96.8532	96	53	79.2968
R3.Test141	929	14	29560	28	98.8530	155	59	7.1348
R3.Test156	213	13	29652	26	99.1606	136	30	22.7177
R3.Test190	398	34	27412	68	91.6697	78	9	11.8047
R3.Test7	243	4	29733	8	99.4315	174	56	23.4137
R3.Test184	5646	22	28781	44	96.2479	146	62	1.2761
R3.Test28	447	6	29565	12	98.8697	199	70	17.6134
R3.Test113	1011	1	29845	2	99.8060	159	56	7.9529
R3.Test199	126	1	29817	2	99.7124	165	59	45.1399
R3.Test90	19	12	29217	24	97.7059	121	21	91.0215
R3.Test76	226	47	24396	94	81.5838	40	2	30.1032
R3.Test142	56	1	29860	2	99.8562	121	53	67.6617
R3.Test118	39	24	8071	50	26.9906	55	21	68.9432
R3.Test5	84	32	26354	64	88.1316	120	56	66.8171
R3.Test35	13	4	29795	8	99.6388	192	70	92.1538
R3.Test176	61	1	29869	2	99.8863	161	56	63.9929
R3.Test12	241	36	12570	72	42.0359	96	30	14.8673
R3.Test59	48	1	29897	2	99.9799	153	56	69.4494
R3.Test187	215	2	29777	4	99.5786	137	59	33.0704
R3.Test98	5	1	29824	2	99.7358	200	70	64.6709
R3.Test56	47	1	29862	2	99.8629	161	56	64.9623
R3.Test65	2352	1	29816	2	99.7091	198	90	1.6355
R3.Test200	1333	13	29420	26	98.3848	178	59	6.5313
R3.Test42	1651	15	28832	30	96.4184	148	56	4.1559
R3.Test165	162	30	28021	60	93.7063	152	70	43.1604
R3.Test2	50	37	14851	74	49.6639	76	45	82.1069
R3.Test91	2964	33	26857	66	89.8137	56	0	1.9482
R3.Test82	36	32	27336	64	91.4156	70	0	95.8881
R3.Test120	144	2	29843	4	99.7994	157	64	34.1158
R3.Test67	70	5	29805	10	99.6723	192	56	62.6874
R3.Test75	196	1	29821	2	99.7258	194	70	32.8022
R3.Test85	228	26	28135	52	94.0875	152	56	28.2350
R3.Test103	102	1	29824	2	99.7358	200	70	36.9101
R3.Test195	176	1	29858	2	99.8495	151	61	27.7069
R3.Test162	60	28	28468	56	95.2012	75	0	52.8693
R3.Test191	14	13	29113	26	97.3581	77	0	99.0476
R3.Test78	93	34	28255	68	94.4888	154	56	63.4492
R3.Test133	281	25	11238	50	37.5815	65	27	13.3456
R3.Test3	67	33	28448	66	95.1343	90	35	41.4794
R3.Test107	40	15	4493	30	15.0252	18	0	34.8484
R3.Test106	544	34	27693	68	92.6094	52	0	13.2981
R3.Test153	38	1	29827	2	99.7458	200	70	72.6069
R3.Test46	174	1	29820	2	99.7224	175	56	36.3610
R3.Test63	47	1	29812	2	99.6957	168	64	54.7488
R3.Test44	73	1	29829	2	99.7525	171	56	35.6999
R3.Test147	186	32	27809	64	92.9974	88	0	32.6388
R3.Test51	754	1	29827	2	99.7458	200	70	11.3597
R3.Test49	7633	19	28183	38	94.2481	187	70	0.8538
R3.Test114	852	50	16488	100	55.1383	42	15	4.5508
R3.Test68	53	2	29867	4	99.8796	192	70	67.6975
R3.Test81	347	42	19059	84	63.7361	119	38	18.4635
R3.Test32	1093	6	29711	12	99.3579	155	56	4.8538
R3.Test175	2542	1	29861	2	99.8595	133	61	1.5957
R3.Test17	402	8	2292	16	7.6648	13	26	1.9671
R3.Test139	2959	2	29825	4	99.7392	165	56	2.0451
R3.Test110	23	1	29825	2	99.7392	190	70	58.2495
R3.Test194	31	3	29828	6	99.7492	137	56	61.1863
R3.Test43	57	2	29814	4	99.7024	119	53	64.6174
R3.Test39	877	33	26520	66	88.6868	119	53	9.2933
R3.Test130	164	36	27277	72	91.2183	55	0	43.3696
R3.Test132	2053	3	29853	6	99.8328	133	59	2.6517
R3.Test94	8629	1	29823	2	99.7325	198	90	0.5483
R3.Test66	3062	2	29816	4	99.7091	155	56	1.7769
R3.Test117	203	26	7713	52	25.7934	29	0	12.9780
R3.Test164	74	34	27975	68	93.5525	85	0	41.8410
R3.Test20	749	45	24197	90	80.9183	113	53	9.1562
R3.Test58	32	31	28099	62	93.9672	76	0	98.6606
R3.Test152	123	36	14432	72	48.2627	54	56	34.6087
R3.Test145	5616	7	29578	14	98.9132	106	47	1.3059
R3.Test6	24	2	405	4	1.3544	4	0	5.9506
R3.Test14	43	40	26428	80	88.3791	148	56	97.3235
R3.Test22	256	7	29692	16	99.2944	121	30	18.0441
R3.Test188	8597	8	29738	16	99.4482	195	72	0.5501
R3.Test16	107	1	29816	2	99.7091	152	62	52.0021
R3.Test112	657	4	29758	8	99.5151	174	56	14.3184
R3.Test136	22	2	29854	4	99.8361	167	56	84.6342
R3.Test71	52	3	29816	6	99.7091	158	56	68.9601
R3.Test134	2241	19	28615	38	95.6927	102	21	3.2724
R3.Test186	725	6	1459	12	4.8791	9	9	0.5917
R3.Test92	891	1	29816	2	99.7091	198	90	7.2726
R3.Test96	56	7	29377	14	98.2410	127	56	69.1365
R3.Test88	10414	1	29833	2	99.7659	164	56	0.4921
R3.Test125	716	6	29607	12	99.0101	200	70	10.8560
R3.Test197	666	1	29824	2	99.7358	202	70	11.3758
R3.Test111	98	45	23610	90	78.9553	33	2	36.2042
R3.Test140	50	33	27271	66	91.1982	72	35	85.1516
R3.Test150	90	27	28652	54	95.8165	64	0	61.3473
R3.Test33	161	1	29820	2	99.7224	187	56	41.8233
R3.Test193	262	1	29860	2	99.8562	173	56	29.0086
R3.Test135	14	7	29341	14	98.1206	79	53	94.1605
R3.Test189	27	25	28907	50	96.6692	74	9	98.3456
R3.Test143	124	1	29815	2	99.7057	204	70	45.1195
R3.Test178	1798	1	29853	2	99.8328	133	59	3.9056
R3.Test115	158	35	26532	70	88.7269	151	57	42.8673
R3.Test108	11549	37	28000	74	93.6361	48	0	0.2522
R3.Test80	29	8	2129	16	7.1197	15	9	24.2009
R3.Test109	815	17	5319	34	17.7875	6	0	1.5180
R3.Test86	45	1	29851	2	99.8261	159	56	54.3972
