sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R5.Test102	1006	2	29757	4	99.5118	176	56	8.7977
R5.Test159	237	1	29828	2	99.7492	200	70	24.6907
R5.Test71	125	2	29697	4	99.3111	153	56	43.8211
R5.Test181	127	1	29865	2	99.8729	141	53	48.5182
R5.Test170	99	1	29847	2	99.8127	157	65	51.0600
R5.Test64	131	9	29455	18	98.5018	115	56	48.3149
R5.Test12	611	49	18913	98	63.2478	104	21	6.7190
R5.Test6	464	1	29866	2	99.8763	175	56	17.7381
R5.Test191	530	1	29813	2	99.6990	151	56	13.9367
R5.Test95	60	1	29835	2	99.7726	143	59	66.4732
R5.Test77	3570	13	29121	26	97.3849	124	53	1.8310
R5.Test16	3046	2	29825	4	99.7392	165	56	2.0440
R5.Test167	74	44	26085	88	87.2321	115	59	76.7559
R5.Test110	59	1	29827	2	99.7458	200	70	56.7067
R5.Test70	1081	2	29816	4	99.7091	155	56	4.6582
R5.Test13	89	1	29814	2	99.7024	186	70	36.5595
R5.Test112	60	25	28499	50	95.3048	90	9	75.5089
R5.Test84	2374	2	29817	4	99.7124	144	59	3.3443
R5.Test54	969	2	29820	4	99.7224	174	56	8.5825
R5.Test5	42	2	29824	4	99.7358	152	56	73.8922
R5.Test8	475	5	29410	10	98.3513	120	53	12.0168
R5.Test137	87	1	29827	2	99.7458	200	70	56.4016
R5.Test25	2045	1	29819	2	99.7191	194	64	2.6634
R5.Test172	245	2	29824	4	99.7358	152	56	29.8489
R5.Test144	1266	26	28445	52	95.1242	89	26	6.7297
R5.Test100	128	2	29819	4	99.7191	161	64	40.5590
R5.Test161	436	1	29812	2	99.6957	151	56	13.1381
R5.Test156	21	15	28791	30	96.2813	97	21	94.5496
R5.Test153	469	2	29859	4	99.8529	139	62	12.8510
R5.Test108	2500	3	29825	6	99.7392	162	56	2.2118
R5.Test18	10153	3	29812	6	99.6957	141	59	0.5053
R5.Test197	11549	4	29814	8	99.7024	189	70	0.2657
R5.Test45	114	18	28979	36	96.9100	104	18	45.6025
R5.Test19	754	1	29874	2	99.9030	151	56	9.6188
R5.Test121	405	16	29284	32	97.9300	178	59	21.4611
R5.Test187	1461	1	29820	2	99.7224	163	56	3.7634
R5.Test34	6374	1	29845	2	99.8060	172	56	1.1365
R5.Test3	114	30	28570	60	95.5423	103	53	37.4584
R5.Test118	85	1	29859	2	99.8529	182	58	53.7236
R5.Test145	159	1	29826	2	99.7425	204	70	40.0910
R5.Test131	69	1	29816	2	99.7091	200	90	58.0701
