sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R20.Test183	5644	2	29818	8	99.7157	129	59	1.0771
R20.Test179	1560	1	29827	2	99.7458	155	56	6.1940
R20.Test114	1400	1	29870	2	99.8896	192	70	6.2730
R20.Test40	4019	1	29836	2	99.7759	151	56	1.5647
R20.Test184	3362	1	29830	2	99.7559	130	53	1.8522
R20.Test47	908	2	29799	4	99.6522	194	70	8.4389
R20.Test146	10122	1	29826	2	99.7425	204	70	0.7189
R20.Test113	1544	1	29842	2	99.7960	132	53	5.4174
R20.Test109	7374	1	29830	2	99.7559	189	64	0.9783
R20.Test196	1205	1	29818	2	99.7157	164	56	6.4078
R20.Test1	4554	2	29817	4	99.7124	158	56	1.4976
R20.Test70	12897	2	29849	4	99.8194	177	61	0.2553
R20.Test127	5742	2	29869	4	99.8863	149	56	1.0835
R20.Test171	3040	1	29817	2	99.7124	204	70	1.9690
R20.Test62	2507	1	29886	2	99.9431	133	59	3.7235
R20.Test125	2867	2	29842	4	99.7960	135	53	2.1350
R20.Test154	815	5	29698	10	99.3145	137	53	8.7492
R20.Test200	1646	3	29767	6	99.5452	168	64	5.1002
R20.Test142	2294	1	29770	2	99.5552	196	70	3.6596
R20.Test192	6473	1	29827	2	99.7458	200	64	1.0280
R20.Test101	12723	1	29877	2	99.9131	165	56	0.4071
R20.Test153	3994	2	29811	4	99.6923	142	56	1.8118
R20.Test77	3849	3	29771	6	99.5586	155	56	1.6290
R20.Test188	3616	1	29871	2	99.8930	146	59	1.8076
R20.Test11	18305	1	29824	2	99.7358	155	56	0.2109
R20.Test56	8166	2	29860	4	99.8562	168	70	0.8649
R20.Test130	3433	1	29771	2	99.5586	190	64	1.8133
R20.Test33	6113	1	29869	2	99.8863	126	59	0.9172
R20.Test93	3640	2	29837	4	99.7793	121	53	1.9554
R20.Test42	6503	1	29874	2	99.9030	155	56	0.8510
R20.Test96	3057	2	29799	4	99.6522	185	58	2.2893
R20.Test36	3510	1	29814	2	99.7024	128	59	1.8444
R20.Test160	2184	1	29813	2	99.6990	204	70	3.0192
