sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R15.Test62	12369	1	29828	2	99.7492	185	56	0.2573
R15.Test8	4945	1	29840	2	99.7893	149	59	1.4955
R15.Test26	2239	1	29838	2	99.7826	157	56	3.2531
R15.Test105	1787	1	29816	2	99.7091	198	90	4.2516
R15.Test158	1593	3	29818	6	99.7157	135	62	3.8415
R15.Test124	385	1	29838	2	99.7826	192	70	18.0107
R15.Test170	12168	1	29856	2	99.8428	160	58	0.2609
R15.Test12	942	1	29866	2	99.8763	182	58	9.2897
R15.Test80	4232	2	29860	4	99.8562	151	58	1.1656
R15.Test117	3647	1	29811	2	99.6923	137	59	2.1223
R15.Test102	1856	1	29885	2	99.9398	166	56	4.3316
R15.Test45	3130	1	29826	2	99.7425	182	64	1.4533
R15.Test96	630	2	29830	4	99.7559	148	56	11.8170
R15.Test126	5568	1	29815	2	99.7057	204	70	1.2426
R15.Test130	1304	1	29816	2	99.7091	198	90	6.1390
R15.Test101	1932	3	29801	6	99.6589	193	67	3.5951
R15.Test148	5002	2	29821	4	99.7258	192	70	1.2109
R15.Test48	5715	2	29852	4	99.8294	165	56	1.1937
R15.Test83	7129	1	29824	2	99.7358	155	56	0.9009
R15.Test171	2578	1	29821	2	99.7258	194	70	2.8118
R15.Test172	13127	1	29817	2	99.7124	200	70	0.4296
R15.Test135	2126	1	29813	2	99.6990	173	56	2.5269
R15.Test116	2722	1	29770	2	99.5552	202	70	2.3574
R15.Test198	1312	2	29824	4	99.7358	152	56	5.1653
R15.Test169	3370	1	29826	2	99.7425	204	70	1.8271
R15.Test61	1905	2	29863	4	99.8662	128	53	3.1851
R15.Test49	3297	2	29867	4	99.8796	192	70	2.1565
R15.Test100	1403	1	29822	2	99.7291	190	70	4.9658
R15.Test131	842	1	29813	2	99.6990	192	70	10.2394
R15.Test87	10368	1	29850	2	99.8228	119	53	0.5867
R15.Test132	4017	1	29823	2	99.7325	190	70	1.7394
R15.Test56	2978	3	29795	10	99.6388	161	58	3.5078
R15.Test188	917	1	29870	2	99.8896	182	70	8.7925
R15.Test114	1842	3	29843	6	99.7994	159	64	3.8649
R15.Test36	632	1	29816	2	99.7091	194	70	13.0556
R15.Test44	1615	2	29803	4	99.6656	167	64	5.5723
