sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R9.Test149	402	2	29819	4	99.7191	149	61	14.3434
R9.Test1	1972	1	29826	2	99.7425	204	70	2.6174
R9.Test140	2217	5	29812	10	99.6957	135	59	2.5571
R9.Test50	9325	3	29849	6	99.8194	154	56	0.5289
R9.Test117	7878	1	29812	2	99.6957	147	56	0.9287
R9.Test144	325	1	29858	2	99.8495	159	56	17.1795
R9.Test28	415	1	29875	2	99.9064	142	56	13.7128
R9.Test44	589	28	10089	56	33.7391	42	53	5.5227
R9.Test59	61	1	29826	2	99.7425	178	64	56.9832
R9.Test122	715	1	29887	2	99.9465	153	56	10.6447
R9.Test6	2129	1	29865	2	99.8729	191	70	2.7151
R9.Test57	8992	1	29815	2	99.7057	204	70	0.5246
R9.Test52	165	2	29877	4	99.9131	139	56	26.8133
R9.Test172	3482	2	29817	4	99.7124	161	56	1.7885
R9.Test168	4500	1	29860	4	99.8562	167	47	2.0077
R9.Test153	273	1	29897	2	99.9799	151	59	29.7179
R9.Test192	1076	1	29808	2	99.6823	133	56	6.5901
R9.Test9	4783	1	29830	2	99.7559	142	59	0.9727
R9.Test163	502	1	29835	2	99.7726	175	57	14.8503
R9.Test158	90	1	29824	2	99.7358	200	70	43.7527
R9.Test186	461	3	29825	10	99.7392	160	53	14.1117
R9.Test102	2651	1	29880	2	99.9231	193	70	3.0041
R9.Test185	304	1	29871	2	99.8930	136	59	25.3888
R9.Test84	87	1	29858	2	99.8495	149	58	49.9246
R9.Test15	3261	3	29798	6	99.6489	159	56	1.9407
R9.Test100	2659	1	29816	2	99.7091	188	70	1.5333
R9.Test54	346	2	29813	4	99.6990	170	56	15.3033
R9.Test104	7088	1	29808	2	99.6823	155	56	1.0684
R9.Test47	1033	1	29864	2	99.8696	195	72	5.7222
R9.Test49	2902	1	29842	2	99.7960	169	64	2.6233
R9.Test109	4304	2	29843	4	99.7994	196	70	1.3647
