sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R2.Test161	47	45	23693	90	79.2329	112	53	97.5567
R2.Test20	350	11	3144	22	10.5140	23	26	3.1187
R2.Test109	21	16	29111	32	97.3514	192	70	96.1559
R2.Test112	16	16	29106	32	97.3347	64	0	99.7573
R2.Test134	4	2	629	4	2.1035	2	9	3.8543
R2.Test121	52	1	29870	2	99.8896	192	70	67.0776
R2.Test11	829	30	10075	60	33.6923	9	0	2.8301
R2.Test150	35	24	8352	48	27.9303	49	21	68.7587
R2.Test85	282	41	14720	82	49.2258	92	47	10.8095
R2.Test49	32	20	5790	40	19.3626	24	9	67.0798
R2.Test58	47	39	26534	78	88.7336	148	56	91.5240
R2.Test149	29	26	8190	52	27.3886	32	9	91.0011
R2.Test29	265	1	29862	2	99.8629	161	56	23.8738
R2.Test171	5	1	29864	2	99.8696	172	56	96.7447
R2.Test200	1673	45	24202	90	80.9350	32	0	3.5328
R2.Test47	10	2	29820	4	99.7224	166	56	93.1307
R2.Test79	165	47	21998	94	73.5645	138	30	22.2848
R2.Test40	68	1	29869	2	99.8863	161	56	45.6366
R2.Test98	2357	3	29816	6	99.7091	148	56	1.6402
R2.Test145	516	2	29881	4	99.9264	165	56	18.5575
R2.Test153	151	5	29849	10	99.8194	145	59	44.7766
R2.Test5	40	1	29869	2	99.8863	151	56	73.0997
R2.Test41	11	1	29860	2	99.8562	167	56	92.6799
R2.Test45	8	2	29810	4	99.6890	196	64	94.1147
R2.Test127	152	1	29856	2	99.8428	171	56	43.3928
R2.Test89	871	31	12184	62	40.7451	48	35	4.3674
R2.Test141	93	15	29106	30	97.3347	64	0	59.1584
R2.Test77	64	22	29358	44	98.1774	106	27	67.8759
R2.Test194	2072	46	16471	92	55.0814	38	26	2.0842
R2.Test35	19	9	29702	18	99.3278	172	61	91.1292
R2.Test48	119	6	29671	12	99.2242	167	56	49.0808
R2.Test146	36	18	29030	36	97.0806	70	18	80.2400
R2.Test170	701	1	29845	2	99.8060	159	56	8.3538
R2.Test42	826	19	5729	38	19.1586	6	0	1.6217
R2.Test96	82	2	29812	6	99.6957	140	62	56.4136
R2.Test104	56	25	8298	50	27.7497	63	47	48.6256
R2.Test168	10	1	29821	2	99.7258	158	59	91.6574
R2.Test63	375	33	27436	66	91.7500	167	56	22.0425
R2.Test73	281	24	28958	48	96.8398	110	53	28.5424
R2.Test124	175	24	27891	48	93.2716	93	9	33.1888
R2.Test139	35	13	29675	28	99.2375	159	56	77.4794
R2.Test122	60	42	25277	84	84.5300	181	70	83.7713
R2.Test38	48	48	19552	96	65.3847	17	0	99.8375
R2.Test133	185	2	29777	4	99.5786	137	59	38.1128
R2.Test18	21	1	29867	2	99.8796	192	70	84.1548
R2.Test27	40	40	15022	80	50.2358	95	44	99.8338
R2.Test97	410	47	21831	94	73.0061	138	30	11.7102
R2.Test81	2923	17	29032	34	97.0872	70	3	2.1783
R2.Test4	147	33	27790	66	92.9338	68	0	46.1362
R2.Test174	571	1	29824	2	99.7358	200	70	12.6603
R2.Test155	23	2	821	4	2.7455	4	9	4.3332
