name	xstart	xend	ystart	yend	dp	fill
ZDH221200141R	0	64	0	1	0	grey100
ZDH221200141R	64	140	0	1	2	grey40
ZDH221200141R	140	883	0	1	0	grey100
ZDH230100321R	0	154	1.5	2.5	0	grey100
ZDH230100321R	154	230	1.5	2.5	2	grey40
ZDH230100321R	230	447	1.5	2.5	0	grey100
ZDH230100321R	447	523	1.5	2.5	2	grey40
ZDH230100321R	523	883	1.5	2.5	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	0	883	3	4	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	0	883	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	0	883	6	7	0	grey100
ZDH221200131R	0	1	7.5	8.5	0	grey100
ZDH221200131R	1	882	7.5	8.5	66	grey30
ZDH221200131R	882	883	7.5	8.5	0	grey100
ZDH221200431R	0	127	9	10	0	grey100
ZDH221200431R	127	203	9	10	2	grey40
ZDH221200431R	203	475	9	10	0	grey100
ZDH221200431R	475	543	9	10	2	grey40
ZDH221200431R	543	544	9	10	0	grey100
ZDH221200431R	544	548	9	10	2	grey40
ZDH221200431R	548	551	9	10	0	grey100
ZDH221200431R	551	555	9	10	2	grey40
ZDH221200431R	555	595	9	10	0	grey100
ZDH221200431R	595	670	9	10	2	grey40
ZDH221200431R	670	883	9	10	0	grey100
MDL001-Q18C22530029L-RNA-D28-20221229	0	883	10.5	11.5	0	grey100
ZDH230101391R	0	355	12	13	0	grey100
ZDH230101391R	355	431	12	13	2	grey40
ZDH230101391R	431	883	12	13	0	grey100
ZDH230100411R	0	185	13.5	14.5	0	grey100
ZDH230100411R	185	327	13.5	14.5	4	grey40
ZDH230100411R	327	883	13.5	14.5	0	grey100
ZDH23063000082R	0	883	15	16	0	grey100
MDL001-Q09C23030037T-RNA-A08-20230110	0	883	16.5	17.5	0	grey100
